claim_id,patent_id,claim_type,claim_text,parent_claim_id,embedding
Pat1-C1,US-11234567,independent,A wireless sensor network system comprising: a plurality of sensor nodes each having a wireless transceiver operating in the 2.4 GHz ISM band; a mesh networking protocol with adaptive routing that dynamically selects relay paths based on link quality metrics; and a low-power sleep controller that transitions each node between active and dormant states based on a configurable duty cycle.,,"[0.91,0.34,-0.22,0.78]"
Pat1-C2,US-11234567,dependent,"The system of claim 1, wherein the wireless transceiver implements Bluetooth Low Energy 5.0 with coded PHY for extended range operation.",Pat1-C1,"[0.88,0.31,-0.19,0.82]"
Pat1-C3,US-11234567,independent,A method for operating a wireless sensor mesh network comprising: receiving sensor data from a plurality of distributed nodes via a BLE mesh transport layer; aggregating sensor readings using a sliding window algorithm with configurable window size and overlap; and transmitting aggregated results to a gateway node using multi-hop adaptive routing.,,"[0.85,0.4,-0.18,0.72]"
Pat2-C1,US-11234568,independent,A low-power sensor node comprising: a BLE 5.0 radio module configured for mesh relay operation; an energy harvesting circuit coupled to a rechargeable power source; and a microcontroller executing a duty-cycle scheduler that maintains mesh connectivity during sleep intervals.,,"[0.82,0.28,-0.3,0.75]"
Pat2-C2,US-11234568,dependent,"The sensor node of claim 1, further comprising a sensor fusion module that combines accelerometer and gyroscope data using a complementary filter to produce orientation estimates.",Pat2-C1,"[0.79,0.25,-0.33,0.71]"
Pat3-C1,EP-3456789,independent,A wireless sensor network system comprising: a plurality of sensor nodes each having a wireless transceiver operating in the 2.4 GHz ISM band; a mesh networking protocol with adaptive routing that dynamically selects relay paths based on link quality metrics; and a low-power sleep controller that transitions each node between active and dormant states based on a configurable duty cycle.,,"[0.9,0.33,-0.21,0.77]"
Pat3-C2,EP-3456789,dependent,"The system of claim 1, wherein the adaptive routing protocol employs a Received Signal Strength Indicator threshold for link quality assessment.",Pat3-C1,"[0.87,0.3,-0.25,0.8]"
Pat4-C1,CN-112345678,independent,A wireless sensor network system comprising: a plurality of sensor nodes each having a wireless transceiver operating in the 2.4 GHz ISM band; a mesh networking protocol with adaptive routing; and a low-power sleep controller implementing a configurable duty cycle.,,"[0.89,0.32,-0.2,0.76]"
Pat5-C1,US-10987654,independent,An IoT data aggregation system comprising: a sensor fusion module that combines heterogeneous sensor inputs using weighted Kalman filtering; an edge processing unit that performs real-time statistical analysis on fused sensor streams; a data aggregation pipeline that compresses and batches processed readings for periodic uplink transmission; and a secure communication channel using TLS 1.3 with certificate pinning.,,"[0.45,0.72,-0.15,0.38]"
Pat5-C2,US-10987654,dependent,"The system of claim 1, wherein the sensor fusion module implements an Extended Kalman Filter with adaptive noise covariance estimation.",Pat5-C1,"[0.42,0.75,-0.12,0.35]"
Pat5-C3,US-10987654,dependent,"The system of claim 1, wherein the data aggregation pipeline applies delta encoding followed by LZ4 compression to reduce transmission bandwidth.",Pat5-C1,"[0.4,0.7,-0.18,0.42]"
Pat6-C1,US-10987655,independent,A method for edge-based machine learning inference in an IoT sensor network comprising: collecting sensor data from a plurality of heterogeneous sensors; preprocessing collected data using a feature extraction pipeline; executing a quantized neural network model on an edge processor to generate predictions; and transmitting prediction results alongside raw sensor metadata to a cloud endpoint.,,"[0.48,0.68,-0.2,0.55]"
Pat6-C2,US-10987655,dependent,"The method of claim 1, wherein the quantized neural network model is an INT8-quantized convolutional neural network optimized for microcontroller deployment.",Pat6-C1,"[0.46,0.65,-0.22,0.52]"
Pat7-C1,JP-2024567890,independent,An IoT data aggregation system comprising: a sensor fusion module that combines heterogeneous sensor inputs using weighted Kalman filtering; an edge processing unit that performs real-time statistical analysis; a data aggregation pipeline for compressed periodic uplink; and a secure communication channel using TLS 1.3.,,"[0.44,0.71,-0.14,0.37]"
Pat8-C1,KR-1023456789,independent,An IoT data aggregation system comprising: a sensor fusion module combining heterogeneous sensor inputs; an edge processing unit for real-time analysis; and a data aggregation pipeline with compressed uplink transmission.,,"[0.43,0.69,-0.16,0.39]"
Pat1-C4,US-11234567,dependent,"The system of claim 1, wherein the mesh networking protocol supports at least 64 concurrent relay nodes with sub-100ms end-to-end latency.",Pat1-C1,"[0.86,0.36,-0.24,0.74]"
Pat5-C4,US-10987654,dependent,"The system of claim 1, wherein the edge processing unit executes anomaly detection using a sliding window z-score algorithm.",Pat5-C1,"[0.41,0.73,-0.11,0.36]"
Pat6-C3,US-10987655,dependent,"The method of claim 1, wherein the feature extraction pipeline applies fast Fourier transform to accelerometer time-series data prior to model inference.",Pat6-C1,"[0.47,0.66,-0.21,0.53]"
